전철역명,지번주소
운연,대한민국 인천광역시 남동구 장수서창동 130
개화,대한민국 서울특별시 방화2동 개화역광역환승센터
공항시장,대한민국 서울특별시 방화동 공항시장
신방화,대한민국 서울특별시 강서구 방화1동 방화대로 지하301
마곡나루,대한민국 서울특별시 강서구 마곡동 277-1
양천향교,대한민국 서울특별시 강서구 가양1동 156-9
가양,대한민국 서울특별시 강서구 가양2동 14-40
증미,대한민국 서울특별시 등촌1동 강서소방서.이마트.증미역
등촌,대한민국 서울특별시 양천구 목3동 605-22
염창,대한민국 서울특별시 염창동 염창역
신목동,대한민국 서울특별시 목2동 신목동
선유도,대한민국 서울특별시 영등포구 양평동5가 26-16
국회의사당,대한민국 서울특별시 여의도동 국회의사당역
샛강,대한민국 서울특별시 영등포구 여의도동 46-3
노들,대한민국 서울특별시 노량진1동 노들
흑석,대한민국 서울특별시 동작구 흑석동 3
구반포,대한민국 서울특별시 반포동 구반포역
신반포,대한민국 서울특별시 반포동 신반포역
사평,대한민국 서울특별시 서초구 사평대로 지하285
신논현,대한민국 서울특별시 강남구 논현1동 800
언주,대한민국 서울특별시 역삼1동 언주
삼성중앙,대한민국 서울특별시 강남구 삼성1동 111-192
봉은사,대한민국 서울특별시 삼성동 봉은사역
청라국제도시,대한민국 인천광역시 서구 경서동 519-21
운서,대한민국 인천광역시 중구 운서동 흰바위로59번길 26
공항화물청사,대한민국 인천광역시 중구 운서동 2844-2
인천국제공항,대한민국 인천광역시 운서동 인천국제공항역
영종,대한민국 인천광역시 중구 운북동 465-32
양재시민의숲,대한민국 서울특별시 양재동 양재시민의숲
김량장,대한민국 용인시 김량장동 김량장역
운동장·송담대,대한민국 경기도 용인시 처인구 김량장동 144-13
고진,대한민국 경기도 용인시 처인구 유방동 527
보평,대한민국 경기도 용인시 처인구 유방동 276-1
둔전,대한민국 경기도 용인시 처인구 포곡읍 둔전리 406-66
전대·에버랜드,대한민국 용인시 포곡읍 전대.에버랜드역
발곡,대한민국 경기도 의정부시 신곡1동 668-10
범골,대한민국 경기도 의정부시 호원2동 326-34
경전철의정부,대한민국 의정부시 의정부동 쌍둥이빌딩.의정부서부역
의정부시청,대한민국 의정부시 의정부동 의정부시청.세무서
흥선,대한민국 의정부시 가능동 흥선
의정부중앙,대한민국 의정부시 의정부동 의정부부대찌개거리.중앙역
동오,대한민국 의정부시 신곡동 동오
새말,대한민국 의정부시 신곡동 새말
경기도청북부청사,대한민국 의정부시 금오동 경기도청북부청사역
효자,대한민국 의정부시 신곡동 효자
곤제,대한민국 경기도 의정부시 자금동 3-3
어룡,대한민국 의정부시 송산1동 어룡역.롯데마트
송산,대한민국 의정부시 용현동 송산
동천,대한민국 경기도 용인시 수지구 동천동 325-356
수지구청,대한민국 경기도 용인시 수지구 풍덕천동 3003-5
성복,대한민국 경기도 용인시 수지구 성복동 62-7
상현,대한민국 경기도 용인시 수지구 상현1동 광교중앙로 310
광교중앙,대한민국 수원시 이의동 광교중앙(아주대)
광교,대한민국 경기도 수원시 영통구 이의동 742번지 신분당선광교역내
강남대,대한민국 용인시 구갈동 강남대
지석,대한민국 경기도 용인시 기흥구 상하동 401-18
어정,대한민국 용인시 상하동 어정
동백,대한민국 용인시 중동 동백역
초당,대한민국 용인시 중동 초당
삼가,대한민국 용인시 역삼동 삼가
시청·용인대,대한민국 경기도 용인시 처인구 역삼동 481-25
명지대,대한민국 용인시 역북동 명지대역
