전철역명,지번주소
원흥,대한민국 경기도 고양시 덕양구 원흥동 142-1
완정,"1077-10, 당하동 서구 인천광역시 대한민국"
석바위시장,대한민국 인천광역시 남구 주안동 1597
상왕십리,대한민국 서울특별시 성동구 왕십리2동 903-30
한양대,대한민국 서울특별시 성동구 행당동 산17
뚝섬,대한민국 서울특별시 성동구 성수동1가 아차산로 18
성수,대한민국 서울특별시 성수2가3동 성수
청계산입구,대한민국 서울특별시 서초구 신원동 201-15
구의,대한민국 서울특별시 광진구 자양2동 216-22
잠실나루,대한민국 경기도 부천시 소사동 잠실나루
잠실새내,대한민국 서울특별시 잠실동 신천역
삼성,대한민국 서울특별시 삼성역
역삼,대한민국 서울특별시 강남구 역삼동 800-56
서초,대한민국 서울특별시 서초구 서초동 1500
방배,대한민국 서울특별시 서초구 방배동 910-17
낙성대,대한민국 서울특별시 관악구 봉천동 1658-2
서울대입구,대한민국 서울특별시 봉천동 서울대입구역
봉천,대한민국 서울특별시 관악구 청룡동 남부순환로 1728
신림,대한민국 서울특별시 관악구 서원동 남부순환로 지하 1614
신대방,대한민국 서울특별시 동작구 신대방1동 643-1
구로디지털단지,대한민국 서울특별시 구로구 구로3동 124
문래,대한민국 서울특별시 영등포구 문래동3가 54
신촌,대한민국 서울특별시 마포구 신촌동 신촌로
이대,대한민국 서울특별시 대흥동 이대
아현,대한민국 서울특별시 아현전철역
용답,대한민국 서울특별시 성동구 용답동 용답길 86
신답,대한민국 서울특별시 성동구 용답동 129
도림천,대한민국 서울특별시 구로구 신도림동 271-60
양천구청,대한민국 서울특별시 양천구 신정7동 목동로3길 지하 33
신정네거리,대한민국 서울특별시 신정3동 신정네거리
용두,대한민국 서울특별시 동대문구 용두동 천호대로 지하 129
지축,대한민국 경기도 고양시 덕양구 지축동 695-14
구파발,대한민국 서울특별시 은평구 진관동 533
녹번,대한민국 서울특별시 은평구 녹번동 48
무악재,대한민국 서울특별시 서대문구 홍제동 통일로 358-1
독립문,대한민국 서울특별시 종로구 무악동 41-6
경복궁,대한민국 서울특별시 종로구 적선동 81-1
안국,대한민국 서울특별시 종로1.2.3.4가동 안국역.종로경찰서.인사동
동대입구,대한민국 서울특별시 중구 장충동 198-1
금호,대한민국 서울특별시 성동구 금호동4가 1470
압구정,대한민국 서울특별시 강남구 신사동 667-38
신사,대한민국 서울특별시 강남구 신사동 강남대로
잠원,대한민국 서울특별시 서초구 잠원동 60-22
남부터미널,대한민국 서울특별시 서초구 서초3동 1446-1
매봉,대한민국 서울특별시 강남구 도곡1동 남부순환로 지하 2744
대치,대한민국 서울특별시 대치동 대치
학여울,대한민국 서울특별시 대치동 학여울역
대청,대한민국 서울특별시 강남구 개포동 18-10
일원,대한민국 서울특별시 강남구 일원본동 717
당고개,대한민국 서울특별시 상계동 당고개역
상계,대한민국 서울특별시 노원구 상계5동 173
쌍문,대한민국 서울특별시 창1동 쌍문역
수유,대한민국 서울특별시 수유동 수유(강북구청)역
미아,대한민국 서울특별시 미아동 미아역7번출구
미아사거리,대한민국 서울특별시 미아동 미아사거리역
길음,대한민국 서울특별시 성북구 길음동 877-66
한성대입구,대한민국 서울특별시 성북구 동소문동2가 1-3
혜화,대한민국 서울특별시 종로구 동숭동 67-2
명동,대한민국 서울특별시 중구 충무로2가 94-3
회현,대한민국 서울특별시 중구 회현동 46
숙대입구,대한민국 서울특별시 용산구 갈월동 69-115
신용산,대한민국 서울특별시 한강로2가 신용산역
남태령,대한민국 서울특별시 서초구 방배2동 2911-3
남영,대한민국 서울특별시 원효로1가 남영역
노량진,대한민국 서울특별시 동작구 노량진1동 69-2
대방,대한민국 서울특별시 신길7동 대방
영등포,대한민국 서울특별시 영등포구 영등포동 618-496
서빙고,대한민국 서울특별시 용산구 서빙고동 서빙고
한남,대한민국 서울특별시 한남동 한남역
응봉,대한민국 서울특별시 성동구 응봉동 213-1
외대앞,대한민국 서울특별시 이문1동 외대앞역
신이문,대한민국 서울특별시 이문2동 신이문역
월계,대한민국 서울특별시 노원구 월계동 261
녹천,대한민국 서울특별시 도봉구 창동 756-144
개포동,대한민국 서울특별시 강남구 개포동 186-20
대모산입구,대한민국 서울특별시 일원2동 대모산입구
양원,대한민국 서울특별시 중랑구 망우동 송림길 147
구리,대한민국 경기도 구리시 인창동 244-1
도농,대한민국 경기도 남양주시 도농동 56-1
양정,대한민국 경기도 남양주시 양정동 463-1
덕소,대한민국 경기도 남양주시 와부읍 덕소로 56
도심,대한민국 경기도 남양주시 와부읍 덕소로 237
팔당,대한민국 남양주시 와부읍 팔당
운길산,대한민국 남양주시 조안면 운길산역
양수,대한민국 경기도 양평군 양서면 용담리 684-1
신원,대한민국 경기도 양평군 양서면 신원리 472-16
국수,대한민국 양평군 양서면 국수
아신,대한민국 양평군 옥천면 아신
오빈,대한민국 경기도 양평군 양평읍 오빈리 238-61
양평(경의중앙선),대한민국 경기도 양평군 양평읍 양근리 130-9
원덕,대한민국 경기도 양평군 양평읍 원덕리 306-5
용문,대한민국 경기도 양평군 용문면 다문리 748-2
서울(경의중앙선),대한민국 서울특별시 중림동 서울역서부
신촌(경의중앙선),대한민국 서울특별시 서대문구 대현동 신촌역로 30
서강대,대한민국 서울특별시 마포구 노고산동 117-5
가좌,대한민국 서울특별시 서대문구 남가좌동 292-9
수색,대한민국 서울특별시 수색동 수색역
화전,대한민국 경기도 고양시 덕양구 화전동 582-2
행신,대한민국 경기도 고양시 덕양구 행신동 519-2
능곡,대한민국 경기도 고양시 덕양구 토당동 453-3번지 외21호 필지 능곡역사 2층 일부
곡산,대한민국 고양시 산황동 곡산
백마,대한민국 고양시 마두1동 백마역
풍산,대한민국 경기도 고양시 일산동구 풍산동 1042-4
일산,대한민국 고양시 일산동 일산역
탄현,대한민국 고양시 탄현동 탄현
야당,대한민국 경기도 파주시 운정3동 417-1
운정,대한민국 경기도 파주시 야당동 297-3
금릉,대한민국 파주시 금촌동 금릉
금촌,대한민국 파주시 금촌1동 금촌역
월롱,대한민국 파주시 월롱면 월롱
파주,대한민국 경기도 파주시 파주읍 봉암리 503-7
문산,대한민국 경기도 파주시 문산읍 문산리 17
신내,대한민국 서울특별시 중랑구 신내동 59-3
갈매,대한민국 구리시 갈매동 갈매
별내,대한민국 경기도 구리시 별내동 금강로
