동,합계
일원2동,"1,173"
수서동,"2,174"
세곡동,"1,988"
압구정동,479
청담동,565
대치2동,641
개포2동,312
기타,1
풍납1동,697
풍납2동,811
거여1동,610
거여2동,941
마천1동,"1,228"
마천2동,"1,216"
방이1동,431
방이2동,795
오륜동,310
오금동,"1,415"
송파1동,687
송파2동,518
석촌동,"1,058"
삼전동,969
가락본동,746
가락1동,14
가락2동,926
문정1동,598
문정2동,525
장지동,"1,489"
위례동,752
잠실본동,842
잠실4동,597
잠실6동,357
잠실7동,200
잠실2동,564
잠실3동,712
강일동,"1,493"
상일동,485
명일1동,779
명일2동,468
고덕1동,773
고덕2동,551
암사2동,480
암사3동,556
천호1동,"1,414"
천호3동,"1,337"
성내1동,652
성내2동,"1,120"
성내3동,876
둔촌1동,7
둔촌2동,956
암사1동,"1,661"
천호2동,"1,807"
길동,"1,965"
