기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	중구	명동	126	68	58	60	31	29	6	4	2	23	16	7	18	5	13	-	-	-	6	3	3	2	2	-	5	3	2	5	4	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-
2018	중구	필동	186	116	70	81	55	26	18	12	6	34	21	13	19	11	8	-	-	-	9	5	4	-	-	-	8	5	3	6	2	4	-	-	-	2	2	-	2	1	1	3	1	2	2	-	2	2	1	1
2018	중구	장충동	194	105	89	89	41	48	30	18	12	21	14	7	29	18	11	3	1	2	10	6	4	1	1	-	4	-	4	4	3	1	-	-	-	1	1	-	1	1	-	-	-	-	1	1	-	-	-	-
2018	중구	광희동	231	144	87	122	76	46	22	16	6	28	18	10	23	10	13	1	-	1	12	7	5	2	1	1	5	2	3	10	10	-	-	-	-	2	1	1	2	2	-	-	-	-	1	-	1	1	1	-
2018	중구	을지로동	88	64	24	43	33	10	9	6	3	14	8	6	10	8	2	1	1	-	-	-	-	-	-	-	5	4	1	4	2	2	-	-	-	1	1	-	1	1	-	-	-	-	-	-	-	-	-	-
2018	중구	신당5동	450	268	182	225	121	104	36	27	9	51	36	15	57	33	24	4	4	-	27	16	11	7	6	1	18	11	7	16	7	9	-	-	-	4	3	1	-	-	-	-	-	-	1	1	-	4	3	1
2018	중구	황학동	514	310	204	253	138	115	56	42	14	55	40	15	65	36	29	1	1	-	25	15	10	4	4	-	14	9	5	24	12	12	3	1	2	3	3	-	3	2	1	-	-	-	7	6	1	1	1	-
2018	중구	중림동	531	322	209	232	137	95	51	28	23	75	43	32	69	44	25	3	1	2	30	20	10	5	3	2	32	20	12	23	17	6	-	-	-	2	2	-	2	1	1	-	-	-	4	4	-	3	2	1
2018	중구	신당동	380	240	140	178	106	72	47	34	13	46	32	14	40	27	13	2	2	-	27	15	12	4	3	1	16	11	5	16	8	8	-	-	-	1	1	-	1	-	1	-	-	-	1	1	-	1	-	1
2018	중구	다산동	633	333	300	323	164	159	39	21	18	76	45	31	97	49	48	4	3	1	30	17	13	8	8	-	21	7	14	23	10	13	2	1	1	1	1	-	5	4	1	-	-	-	2	1	1	2	2	-
2018	중구	약수동	875	464	411	399	198	201	90	49	41	112	58	54	129	74	55	1	-	1	49	27	22	7	6	1	32	19	13	34	15	19	4	4	-	3	3	-	5	5	-	2	1	1	6	4	2	2	1	1
2018	중구	청구동	638	367	271	294	161	133	54	36	18	71	38	33	90	54	36	6	6	-	39	23	16	10	8	2	28	18	10	33	17	16	1	1	-	-	-	-	4	2	2	1	-	1	4	2	2	3	1	2
